"filename", "language", "Markdown", "MS SQL", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "Rust", "HTML", "comment", "blank", "total"
"/Users/junweiwang/Documents/github/wafer-overlay/src/store.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/DataSource.ts", "TypeScript", 0, 0, -40, 0, 0, 0, 0, 0, -39, -18, -97
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/Log.ts", "TypeScript", 0, 0, -9, 0, 0, 0, 0, 0, -1, -2, -12
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/Preferences.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, -1, -3, -23
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/Stepper.ts", "TypeScript", 0, 0, -7, 0, 0, 0, 0, 0, -1, 0, -8
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/Wafer.ts", "TypeScript", 0, 0, -119, 0, 0, 0, 0, 0, -57, -31, -207
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/dataSource.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 13, 14, 63
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/helpers.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 5, 13
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/ipc.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 96, 37, 255
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/log.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/preferences.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/stepper.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 0, 9
"/Users/junweiwang/Documents/github/wafer-overlay/src/types/wafer.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 28, 23, 110
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/console.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/dataSource.ts", "TypeScript", 0, 0, 301, 0, 0, 0, 0, 0, 75, 62, 438
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/fs.ts", "TypeScript", 0, 0, 429, 0, 0, 0, 0, 0, 133, 104, 666
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/helper.ts", "TypeScript", 0, 0, -14, 0, 0, 0, 0, 0, -2, -2, -18
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/init.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -17, -4, -21
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/log.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/tracker.ts", "TypeScript", 0, 0, -71, 0, 0, 0, 0, 0, 0, -19, -90
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/validators.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -2
"/Users/junweiwang/Documents/github/wafer-overlay/src/utils/wafer.ts", "TypeScript", 0, 0, 204, 0, 0, 0, 0, 0, 13, 29, 246
"/Users/junweiwang/Documents/github/wafer-overlay/vite.config.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, -3, 1, 5
"Total", "-", 4, 22, 3218, 3083, 4, 28, 727, 138, 5379, 1041, 13644
